Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,5.110000,5.160000,5.100000,5.100000,4.874696,583000
2020-12-09,5.170000,5.190000,5.070000,5.080000,4.855579,241100
2020-12-10,5.130000,5.270000,5.130000,5.250000,5.018070,529400
2020-12-11,5.410000,5.480000,5.400000,5.480000,5.237909,915600
2020-12-14,5.550000,5.560000,5.350000,5.360000,5.123210,278400
2020-12-15,5.410000,5.430000,5.360000,5.430000,5.190117,505400
2020-12-16,5.500000,5.580000,5.480000,5.570000,5.323933,339100
2020-12-17,5.830000,5.850000,5.790000,5.810000,5.553330,402000
2020-12-18,5.720000,5.810000,5.700000,5.780000,5.524656,520500
2020-12-21,5.350000,5.450000,5.340000,5.430000,5.190117,695800
2020-12-22,5.500000,5.550000,5.450000,5.460000,5.218792,423100
2020-12-23,5.600000,5.620000,5.450000,5.500000,5.257025,370300
2020-12-24,5.500000,5.520000,5.490000,5.520000,5.276142,75400
2020-12-28,5.520000,5.580000,5.510000,5.540000,5.295258,369000
2020-12-29,5.620000,5.650000,5.550000,5.590000,5.343050,1145300
2020-12-30,5.620000,5.670000,5.610000,5.670000,5.419515,344700
2020-12-31,5.600000,5.610000,5.510000,5.600000,5.352607,111600
2021-01-04,5.800000,5.830000,5.660000,5.690000,5.438632,468100
2021-01-05,5.660000,5.790000,5.640000,5.770000,5.515097,288900
2021-01-06,5.740000,5.810000,5.720000,5.760000,5.505539,511900
2021-01-07,5.900000,5.920000,5.870000,5.890000,5.629796,246600
2021-01-08,6.060000,6.080000,5.970000,6.040000,5.773170,427600
2021-01-11,6.000000,6.070000,5.980000,6.070000,5.801844,480000
2021-01-12,6.110000,6.180000,6.050000,6.180000,5.906984,394600
2021-01-13,6.120000,6.160000,6.060000,6.090000,5.820961,1208700
2021-01-14,6.180000,6.220000,6.140000,6.200000,5.926101,2007000
2021-01-15,6.140000,6.170000,6.080000,6.080000,5.811402,1057600
2021-01-19,6.010000,6.050000,6.000000,6.020000,5.754053,1354900
2021-01-20,6.080000,6.090000,6.040000,6.060000,5.792286,541100
2021-01-21,5.900000,5.920000,5.830000,5.840000,5.582005,1255900
2021-01-22,5.670000,5.750000,5.640000,5.680000,5.429073,587300
2021-01-25,5.650000,5.760000,5.640000,5.760000,5.505539,409100
2021-01-26,5.770000,5.800000,5.740000,5.760000,5.505539,349600
2021-01-27,5.710000,5.770000,5.660000,5.700000,5.448190,250500
2021-01-28,5.690000,5.720000,5.660000,5.700000,5.448190,327700
2021-01-29,5.630000,5.660000,5.560000,5.590000,5.343050,459900
2021-02-01,5.600000,5.610000,5.560000,5.600000,5.352607,380200
2021-02-02,5.760000,5.770000,5.590000,5.620000,5.371724,502500
2021-02-03,5.670000,5.720000,5.660000,5.720000,5.467306,285300
2021-02-04,5.800000,5.800000,5.700000,5.780000,5.524656,173500
2021-02-05,5.870000,5.920000,5.870000,5.910000,5.648912,303400
2021-02-08,6.060000,6.100000,6.040000,6.080000,5.811402,654000
2021-02-09,6.140000,6.170000,6.050000,6.110000,5.840077,1023100
2021-02-10,6.080000,6.090000,5.970000,6.010000,5.744495,291400
2021-02-11,6.020000,6.040000,5.980000,5.980000,5.715820,569700
2021-02-12,6.000000,6.150000,5.990000,6.120000,5.849635,842500
2021-02-16,6.290000,6.300000,6.260000,6.280000,6.002567,3532300
2021-02-17,6.150000,6.190000,6.090000,6.190000,5.916543,443800
2021-02-18,6.090000,6.100000,6.030000,6.070000,5.801844,454800
2021-02-19,6.050000,6.100000,6.040000,6.070000,5.801844,193300
2021-02-22,6.010000,6.070000,6.000000,6.040000,5.773170,452700
2021-02-23,6.010000,6.060000,5.940000,6.060000,5.792286,571000
2021-02-24,6.010000,6.040000,5.960000,6.040000,5.773170,850700
2021-02-25,6.040000,6.070000,5.910000,5.910000,5.648912,388500
